Nombre;CUIT;NroPrestador;Sucursal;Provincia;Seccional;Partido;Localidad;Domicilio;Telefono;Clasificacion prestador;Tipo de prestador;Especialidad;Plan;Fecha-Hora Transcripción;lat;lon
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Clinica Medica;Universal;25/02/2026 23:30;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Dermatologia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Diabetologia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Gastroenterologia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Ginecologia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Nutricion;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Obstetricia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Pediatria;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Traumatologia y Ortopedia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;EspecialidadesAmbulatorio;Urologia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;Cirugias;General;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;DiagnosticoyTratamiento;Colposcopia;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;DiagnosticoyTratamiento;Holter;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD QUILMES;99999999999;999005;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Avenida Vicente Lopez 87;011 3321-8671;Especialistas;DiagnosticoyTratamiento;Presurometria;Universal;;-34.7160381;-58.2715005
CONSULTORIOS PROPIOS TV SALUD MORON;99999999999;999004;1;Buenos Aires;GBA OESTE;Moron;Moron;Vergara 62;+54911 3571 4504;Especialistas;EspecialidadesAmbulatorio;Clinica Medica;Universal;;-34.6420292;-58.6234249
CONSULTORIOS PROPIOS TV SALUD MORON;99999999999;999004;1;Buenos Aires;GBA OESTE;Moron;Moron;Vergara 62;+54911 3571 4504;Especialistas;EspecialidadesAmbulatorio;Diabetologia;Universal;;-34.6420292;-58.6234249
CONSULTORIOS PROPIOS TV SALUD MORON;99999999999;999004;1;Buenos Aires;GBA OESTE;Moron;Moron;Vergara 62;+54911 3571 4504;Especialistas;EspecialidadesAmbulatorio;Ginecologia;Universal;;-34.6420292;-58.6234249
CONSULTORIOS PROPIOS TV SALUD MORON;99999999999;999004;1;Buenos Aires;GBA OESTE;Moron;Moron;Vergara 62;+54911 3571 4504;Especialistas;EspecialidadesAmbulatorio;Pediatria;Universal;;-34.6420292;-58.6234249
CONSULTORIOS PROPIOS TV SALUD MORON;99999999999;999004;1;Buenos Aires;GBA OESTE;Moron;Moron;Vergara 62;+54911 3571 4504;Especialistas;EspecialidadesAmbulatorio;Traumatologia y Ortopedia;Universal;;-34.6420292;-58.6234249
CONSULTORIOS PROPIOS TV SALUD SAN ISIDRO;99999999999;999003;1;Buenos Aires;GBA NORTE;San Isidro;San Isidro;Fleming 970;0810-220-0262;Especialistas;EspecialidadesAmbulatorio;Cardiologia;Universal;;-34.4852533;-58.5264552
CONSULTORIOS PROPIOS TV SALUD SAN ISIDRO;99999999999;999003;1;Buenos Aires;GBA NORTE;San Isidro;San Isidro;Fleming 970;0810-220-0262;Especialistas;EspecialidadesAmbulatorio;Clinica Medica;Universal;;-34.4852533;-58.5264552
CONSULTORIOS PROPIOS TV SALUD SAN ISIDRO;99999999999;999003;1;Buenos Aires;GBA NORTE;San Isidro;San Isidro;Fleming 970;0810-220-0262;Especialistas;EspecialidadesAmbulatorio;Dermatologia;Universal;;-34.4852533;-58.5264552
